H,process_MPKI,process_MAD,harness_MPKI,kernel_MPKI,kernel_missrate,misses_M,instr_M,bytes_MiB
64,5.438538151425857,0.3313530628835206,5.589506037086809,4.127949369089139,0.019969938660967176,0.0022985,0.556814,0.046875
128,2.8101028122193616,0.3818169712707604,4.359779463334079,0.37196533423009237,0.0018082014120976043,0.0007975,2.144017,0.1875
256,1.115796298478313,0.07751996581202358,2.2431782195333834,-0.15346259086014405,-0.0006541912103504517,-0.000947,6.170885,0.75
512,0.6407908727370656,0.04906910641705947,1.3782834534739037,0.045698323973671844,0.0001985026767111418,0.001049,22.95489,3.0
1024,0.40118227138399554,0.021867589190828096,0.8386488673127266,0.06819422891908745,0.00029772437928824813,0.0061145,89.6630125,12.0
2048,0.3656401466542669,0.03723633603043508,0.6609740070371569,0.14643494227636614,0.0006393523757546881,0.05152,351.828595,48.0
4096,0.3625914422435995,0.021869354704245808,0.6488410445314949,0.15433319481653285,0.0006748386690326665,0.216454,1402.510978,192.0
8192,0.40400378358967104,0.01136981307717641,0.6549252847561775,0.2218108788657962,0.0009703280141300339,1.243334,5605.378809,768.0
16384,0.7567963539560504,0.008170916667720296,0.6394817388587544,0.8418663033637633,0.003683909112533809,18.8787335,22424.859416,3072.0
