label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults,L1D_MPKI,L1D_miss_rate,branch_MPKI,branch_rate,branch_miss_rate,IPC,CPI
calibration,calibration,default,128,128,3,1234,12,0,62,680346,13657,595804,25182,3634906,2704180,1,163,3.75718,0.0200736,6.92783,0.163912,0.0422656,1.34418,0.743948
calibration,calibration,default,128,128,3,1234,13,0,62,674054,13647,591399,22855,3604415,2886687,1,162,3.78619,0.0202462,6.34083,0.164076,0.0386457,1.24863,0.800875
calibration,calibration,default,128,128,3,1234,14,0,100,658978,14067,541870,19584,3222499,2546217,1,164,4.36525,0.0213467,6.07727,0.168152,0.0361415,1.2656,0.790137
calibration,calibration,default,128,128,3,1234,15,0,100,659247,14234,541823,19906,3224851,2471750,1,165,4.41385,0.0215913,6.17269,0.168015,0.0367389,1.30468,0.76647
calibration,calibration,default,128,128,3,1234,16,0,100,660247,14434,542227,20339,3231021,2440570,1,162,4.46732,0.0218615,6.29491,0.167819,0.0375101,1.32388,0.755356
calibration,calibration,default,128,128,3,1234,17,0,100,657254,14051,540232,18895,3216754,2407102,1,162,4.36807,0.0213783,5.87393,0.167943,0.0349757,1.33636,0.748302
calibration,calibration,default,128,128,3,1234,18,0,100,656250,14716,539792,20606,3212036,2491301,1,162,4.58152,0.0224244,6.41525,0.168053,0.038174,1.2893,0.775614
calibration,calibration,default,128,128,3,1234,19,0,100,655697,13979,539201,20970,3210380,2450644,1,162,4.35431,0.0213193,6.53194,0.167956,0.0388909,1.31001,0.76335
calibration,calibration,default,128,128,3,1234,20,0,93,680912,14581,563723,19762,3353427,2459995,1,163,4.34809,0.0214139,5.89308,0.168104,0.0350562,1.36318,0.733576
calibration,calibration,default,256,256,3,1234,1,0,75,1029368,14039,1050396,54791,6926787,4245202,1,265,2.02677,0.0136385,7.91002,0.151643,0.0521622,1.63167,0.612867
calibration,calibration,default,256,256,3,1234,2,0,76,1094348,16404,1099811,53225,7201014,4388620,2,262,2.27801,0.0149897,7.39132,0.15273,0.0483947,1.64084,0.609445
calibration,calibration,default,256,256,3,1234,3,0,100,1032687,17233,977247,47563,6282083,4551460,1,263,2.7432,0.0166875,7.57121,0.155561,0.0486704,1.38023,0.724514
calibration,calibration,default,256,256,3,1234,4,0,96,1033786,18422,988747,47842,6362732,4204191,2,263,2.8953,0.0178199,7.5191,0.155397,0.0483865,1.51343,0.660752
calibration,calibration,default,256,256,3,1234,5,0,85,1044474,15431,1026307,50152,6678826,4140941,2,263,2.31044,0.0147739,7.5091,0.153666,0.0488665,1.61288,0.62001
calibration,calibration,default,256,256,3,1234,6,0,100,1020901,16689,970776,46415,6236940,4049381,1,263,2.67583,0.0163473,7.44195,0.155649,0.0478123,1.54022,0.649258
calibration,calibration,default,256,256,3,1234,7,0,76,1025037,14183,1045516,52720,6892734,4163884,1,264,2.05767,0.0138366,7.64863,0.151684,0.0504249,1.65536,0.604098
calibration,calibration,default,256,256,3,1234,8,0,100,1016436,16572,967529,46043,6215701,3925749,1,263,2.66615,0.016304,7.40753,0.155659,0.0475882,1.58332,0.631586
calibration,calibration,default,256,256,3,1234,9,0,100,1016932,16430,967347,45273,6220125,3970786,1,263,2.64143,0.0161564,7.27847,0.155519,0.0468012,1.56647,0.638377
calibration,calibration,default,256,256,3,1234,10,0,76,1021871,13990,1043438,55375,6883330,4150840,1,262,2.03245,0.0136906,8.0448,0.151589,0.0530698,1.6583,0.603028
calibration,calibration,default,256,256,3,1234,11,0,75,1039768,13914,1060845,54679,6999971,4169201,1,265,1.98772,0.0133818,7.81132,0.15155,0.0515429,1.67897,0.595603
calibration,calibration,default,256,256,3,1234,12,0,76,1019393,15141,1039911,52748,6856269,4113794,1,262,2.20834,0.014853,7.6934,0.151673,0.0507236,1.66665,0.600005
calibration,calibration,default,256,256,3,1234,13,0,72,1079601,15118,1101206,55548,7264510,4432069,1,264,2.08108,0.0140033,7.64649,0.151587,0.0504429,1.63908,0.610099
calibration,calibration,default,256,256,3,1234,14,0,100,1018310,15953,969008,46185,6223700,4147394,1,265,2.56327,0.0156662,7.42083,0.155696,0.0476621,1.50063,0.666387
calibration,calibration,default,256,256,3,1234,15,0,74,1046149,14322,1067245,53798,7036526,4176923,1,265,2.03538,0.0136902,7.64553,0.151672,0.0504083,1.68462,0.593606
calibration,calibration,default,256,256,3,1234,16,0,72,1076487,14490,1096540,55433,7239271,4658092,1,264,2.00158,0.0134605,7.65726,0.151471,0.0505526,1.55413,0.643448
calibration,calibration,default,256,256,3,1234,17,0,70,1098844,15344,1122357,56659,7404429,4351051,1,262,2.07227,0.0139638,7.65204,0.151579,0.0504822,1.70176,0.587628
calibration,calibration,default,256,256,3,1234,18,0,82,1107271,17285,1082373,52444,7030918,4332986,2,265,2.45843,0.0156105,7.45905,0.153945,0.0484528,1.62265,0.616276
calibration,calibration,default,256,256,3,1234,19,0,65,1191756,16497,1217392,63779,8030910,5060149,1,263,2.05419,0.0138426,7.94169,0.151588,0.0523899,1.58709,0.630084
calibration,calibration,default,256,256,3,1234,20,0,100,1016105,16121,966861,47423,6217180,4030974,1,263,2.59298,0.0158655,7.62773,0.155514,0.0490484,1.54235,0.648361
calibration,calibration,default,512,512,3,1234,1,0,87,2509053,23711,2848259,163337,19649878,10642131,1,646,1.20667,0.00945018,8.31237,0.14495,0.0573463,1.84642,0.541588
calibration,calibration,default,512,512,3,1234,2,0,87,2498601,23202,2834427,161715,19555332,10597010,1,649,1.18648,0.009286,8.26961,0.144944,0.0570539,1.84536,0.541899
calibration,calibration,default,512,512,3,1234,3,0,87,2497594,23693,2833816,160289,19545193,10511905,1,647,1.21222,0.00948633,8.20094,0.144988,0.056563,1.85934,0.537826
calibration,calibration,default,512,512,3,1234,4,0,100,2431860,25709,2660407,148202,18132350,10405101,1,651,1.41785,0.0105717,8.17335,0.146722,0.0557065,1.74264,0.573842
calibration,calibration,default,512,512,3,1234,5,0,100,2428043,27165,2657353,147410,18119839,10215330,1,648,1.49919,0.011188,8.13528,0.146654,0.0554725,1.77379,0.563765
calibration,calibration,default,512,512,3,1234,6,0,90,2436477,25515,2763391,155479,19059332,10772506,1,649,1.33871,0.0104721,8.15763,0.144989,0.0562638,1.76926,0.565209
calibration,calibration,default,512,512,3,1234,7,0,100,2450670,29407,2668344,146272,18221530,10461531,1,646,1.61386,0.0119996,8.02743,0.146439,0.0548175,1.74177,0.57413
calibration,calibration,default,512,512,3,1234,8,0,89,2443090,24497,2771239,155713,19112771,10032696,1,647,1.28171,0.0100271,8.14707,0.144994,0.0561889,1.90505,0.524921
calibration,calibration,default,512,512,3,1234,9,0,100,2432426,28001,2660299,147155,18132733,10011641,1,650,1.54422,0.0115116,8.11543,0.146713,0.0553152,1.81116,0.552131
calibration,calibration,default,512,512,3,1234,10,0,89,2457178,27194,2780430,156885,19168195,10398501,2,651,1.4187,0.0110672,8.18465,0.145054,0.0564247,1.84336,0.542487
calibration,calibration,default,512,512,3,1234,11,0,100,2431418,28745,2659938,146856,18130643,10037704,1,650,1.58544,0.0118223,8.09988,0.14671,0.0552103,1.80625,0.553632
calibration,calibration,default,512,512,3,1234,12,0,89,2450025,25503,2779853,157108,19175540,10240181,1,645,1.32998,0.0104093,8.19315,0.144969,0.0565167,1.87258,0.534023
calibration,calibration,default,512,512,3,1234,13,0,88,2477497,25196,2810068,159004,19385313,10474350,1,650,1.29975,0.0101699,8.20229,0.144959,0.0565837,1.85074,0.540324
calibration,calibration,default,512,512,3,1234,14,0,95,2470154,28016,2729387,151132,18664675,10280669,2,651,1.50102,0.0113418,8.09722,0.146233,0.0553721,1.81551,0.550809
calibration,calibration,default,512,512,3,1234,15,0,90,2415730,24811,2738594,156702,18892537,10289716,1,647,1.31327,0.0102706,8.29439,0.144956,0.0572199,1.83606,0.544644
calibration,calibration,default,512,512,3,1234,16,0,100,2434155,29222,2661338,146690,18142971,10359206,1,645,1.61065,0.012005,8.08522,0.146687,0.0551189,1.75139,0.570976
calibration,calibration,default,512,512,3,1234,17,0,89,2440004,25237,2767658,156344,19090657,10106748,1,647,1.32196,0.010343,8.18956,0.144974,0.0564896,1.8889,0.529408
calibration,calibration,default,512,512,3,1234,18,0,100,2427622,28676,2656773,148428,18113661,10034324,1,647,1.58311,0.0118124,8.19426,0.146672,0.0558678,1.80517,0.553964
calibration,calibration,default,512,512,3,1234,19,0,100,2424870,28381,2655157,147968,18100277,9994547,0,649,1.56799,0.0117041,8.1749,0.146692,0.0557285,1.81102,0.552176
calibration,calibration,default,512,512,3,1234,20,0,90,2425453,24845,2750503,156675,18969827,10044638,1,651,1.30971,0.0102434,8.25917,0.144994,0.0569623,1.88855,0.529506
calibration,calibration,default,1024,1024,3,1234,1,0,96,8104395,58031,9552066,558865,66879613,34959423,2,2185,0.867693,0.00716044,8.35628,0.142825,0.0585072,1.91306,0.522722
calibration,calibration,default,1024,1024,3,1234,2,0,100,8072435,59655,9414132,550340,65687856,34837155,0,2186,0.908159,0.00738996,8.37811,0.143316,0.0584589,1.88557,0.530344
calibration,calibration,default,1024,1024,3,1234,3,0,96,8097829,53949,9555613,560693,66915621,34422127,1,2189,0.806224,0.00666216,8.3791,0.142801,0.0586768,1.94397,0.514411
calibration,calibration,default,1024,1024,3,1234,4,0,96,8087362,52259,9543883,555979,66835049,35757201,1,2186,0.78191,0.00646181,8.31867,0.142798,0.058255,1.86914,0.535007
calibration,calibration,default,1024,1024,3,1234,5,0,100,8072039,56218,9414002,547831,65689824,35596021,1,2185,0.85581,0.00696454,8.33966,0.14331,0.0581932,1.84543,0.54188
calibration,calibration,default,1024,1024,3,1234,6,0,96,8105360,56016,9563603,560453,66969842,34946864,1,2184,0.836436,0.00691098,8.36874,0.142805,0.0586027,1.91633,0.52183
