stage,label,version,H,W,K,seed,rep,correct,naive_ms,stage_ms,gflops,speedup
simd,simd256_v2,conv_simd256_v2,16384,16384,3,1234,18,yes,1181.236,166.788,28.97,7.08
simd,simd256_v2,conv_simd256_v2,16384,16384,3,1234,19,yes,1211.705,166.234,29.07,7.29
simd,simd256_v2,conv_simd256_v2,16384,16384,3,1234,20,yes,1189.959,167.512,28.84,7.10
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,1,yes,0.038,0.005,16.11,8.26
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,2,yes,0.048,0.005,14.82,9.56
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,3,yes,0.046,0.005,16.21,10.04
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,4,yes,0.041,0.005,14.90,8.19
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,5,yes,0.048,0.005,14.86,9.75
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,6,yes,0.049,0.006,12.35,8.15
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,7,yes,0.041,0.005,16.26,9.10
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,8,yes,0.046,0.006,13.00,8.07
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,9,yes,0.042,0.005,16.18,9.30
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,10,yes,0.038,0.005,16.17,8.35
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,11,yes,0.046,0.005,16.29,10.10
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,12,yes,0.026,0.003,24.37,8.57
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,13,yes,0.017,0.001,51.52,11.82
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,14,yes,0.020,0.001,51.16,13.88
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,15,yes,0.017,0.001,51.34,11.84
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,16,yes,0.019,0.001,51.31,13.21
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,17,yes,0.020,0.001,51.56,14.06
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,18,yes,0.020,0.002,36.66,10.16
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,19,yes,0.020,0.001,51.16,14.19
simd,simd256_v3,conv_simd256_v3,64,64,3,1234,20,yes,0.023,0.003,26.99,8.45
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,1,yes,0.148,0.018,16.85,8.48
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,2,yes,0.166,0.015,19.97,11.21
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,3,yes,0.133,0.015,19.99,9.00
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,4,yes,0.115,0.009,32.67,12.72
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,5,yes,0.135,0.012,24.19,11.08
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,6,yes,0.136,0.012,24.18,11.18
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,7,yes,0.110,0.012,25.63,9.53
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,8,yes,0.110,0.009,31.19,11.60
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,9,yes,0.129,0.008,35.56,15.52
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,10,yes,0.110,0.008,36.98,13.75
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,11,yes,0.106,0.011,26.78,9.58
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,12,yes,0.128,0.012,25.64,11.11
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,13,yes,0.101,0.010,28.49,9.72
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,14,yes,0.121,0.010,28.46,11.65
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,15,yes,0.114,0.010,28.52,10.99
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,16,yes,0.081,0.009,32.74,9.04
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,17,yes,0.075,0.008,38.31,9.70
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,18,yes,0.066,0.008,38.51,8.65
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,19,yes,0.081,0.005,53.77,14.72
simd,simd256_v3,conv_simd256_v3,128,128,3,1234,20,yes,0.083,0.008,36.82,10.36
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,1,yes,0.263,0.021,56.45,12.59
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,2,yes,0.315,0.021,56.66,15.13
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,3,yes,0.263,0.021,56.64,12.61
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,4,yes,0.321,0.021,56.55,15.40
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,5,yes,0.268,0.021,56.76,12.90
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,6,yes,0.285,0.021,56.76,13.72
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,7,yes,0.311,0.021,56.68,14.95
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,8,yes,0.306,0.021,56.58,14.68
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,9,yes,0.320,0.021,56.72,15.40
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,10,yes,0.293,0.021,56.58,14.06
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,11,yes,0.320,0.021,56.62,15.37
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,12,yes,0.285,0.021,56.72,13.68
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,13,yes,0.262,0.021,56.77,12.63
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,14,yes,0.320,0.026,46.13,12.53
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,15,yes,0.263,0.021,56.32,12.56
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,16,yes,0.335,0.021,56.59,16.08
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,17,yes,0.322,0.021,56.28,15.34
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,18,yes,0.279,0.021,56.78,13.42
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,19,yes,0.262,0.021,56.36,12.53
