variant,a_degree,b_degree,M,N,K,seed,sample,time_ms,gflops,baseline_ms,speedup,correct
tiled,7,48,off,256,256,256,1234,1,10.041945,3.3414,12.665585,1.261268,yes
tiled,7,48,off,256,256,256,1234,2,9.965461,3.3671,12.665585,1.270948,yes
tiled,7,48,off,256,256,256,1234,3,10.053579,3.3376,12.665585,1.259809,yes
tiled,7,48,off,256,256,256,1234,4,10.258438,3.2709,12.665585,1.234650,yes
tiled,7,48,off,256,256,256,1234,5,10.270134,3.2672,12.665585,1.233244,yes
tiled,7,48,off,512,512,512,1234,1,80.333710,3.3415,120.973697,1.505890,yes
tiled,7,48,off,512,512,512,1234,2,81.629960,3.2884,120.973697,1.481977,yes
tiled,7,48,off,512,512,512,1234,3,80.767613,3.3236,120.973697,1.497800,yes
tiled,7,48,off,512,512,512,1234,4,82.083345,3.2703,120.973697,1.473791,yes
tiled,7,48,off,512,512,512,1234,5,82.091977,3.2699,120.973697,1.473636,yes
tiled,7,48,off,1024,1024,1024,1234,1,645.302959,3.3279,1052.510469,1.631033,na
tiled,7,48,off,1024,1024,1024,1234,2,660.912295,3.2493,1052.510469,1.592512,na
tiled,7,48,off,1024,1024,1024,1234,3,640.732450,3.3516,1052.510469,1.642668,na
tiled,7,48,off,1024,1024,1024,1234,4,642.401217,3.3429,1052.510469,1.638400,na
tiled,7,48,off,1024,1024,1024,1234,5,644.446208,3.3323,1052.510469,1.633201,na
tiled,7,48,off,2048,2048,2048,1234,1,5320.719283,3.2289,9075.974621,1.705780,na
tiled,7,48,off,2048,2048,2048,1234,2,5272.947450,3.2581,9075.974621,1.721234,na
tiled,7,48,off,2048,2048,2048,1234,3,5145.097214,3.3391,9075.974621,1.764004,na
tiled,7,48,off,2048,2048,2048,1234,4,5205.894359,3.3001,9075.974621,1.743404,na
tiled,7,48,off,2048,2048,2048,1234,5,5298.420562,3.2425,9075.974621,1.712959,na
tiled,7,80,off,256,256,256,1234,1,10.146091,3.3071,12.665585,1.248322,yes
tiled,7,80,off,256,256,256,1234,2,10.169737,3.2994,12.665585,1.245419,yes
tiled,7,80,off,256,256,256,1234,3,10.152239,3.3051,12.665585,1.247566,yes
tiled,7,80,off,256,256,256,1234,4,10.172938,3.2984,12.665585,1.245027,yes
tiled,7,80,off,256,256,256,1234,5,10.167297,3.3002,12.665585,1.245718,yes
tiled,7,80,off,512,512,512,1234,1,80.933014,3.3168,120.973697,1.494739,yes
tiled,7,80,off,512,512,512,1234,2,80.960213,3.3156,120.973697,1.494236,yes
tiled,7,80,off,512,512,512,1234,3,80.168941,3.3484,120.973697,1.508985,yes
tiled,7,80,off,512,512,512,1234,4,80.950259,3.3161,120.973697,1.494420,yes
tiled,7,80,off,512,512,512,1234,5,80.835868,3.3207,120.973697,1.496535,yes
tiled,7,80,off,1024,1024,1024,1234,1,643.232837,3.3386,1052.510469,1.636282,na
tiled,7,80,off,1024,1024,1024,1234,2,646.179852,3.3234,1052.510469,1.628820,na
tiled,7,80,off,1024,1024,1024,1234,3,649.896411,3.3043,1052.510469,1.619505,na
tiled,7,80,off,1024,1024,1024,1234,4,636.673756,3.3730,1052.510469,1.653139,na
tiled,7,80,off,1024,1024,1024,1234,5,632.737278,3.3940,1052.510469,1.663424,na
tiled,7,80,off,2048,2048,2048,1234,1,5363.085538,3.2034,9075.974621,1.692305,na
tiled,7,80,off,2048,2048,2048,1234,2,5224.358733,3.2884,9075.974621,1.737242,na
tiled,7,80,off,2048,2048,2048,1234,3,5345.532563,3.2139,9075.974621,1.697862,na
tiled,7,80,off,2048,2048,2048,1234,4,5169.369313,3.3234,9075.974621,1.755722,na
tiled,7,80,off,2048,2048,2048,1234,5,5134.517202,3.3460,9075.974621,1.767639,na
tiled,7,128,off,256,256,256,1234,1,10.028751,3.3458,12.665585,1.262927,yes
tiled,7,128,off,256,256,256,1234,2,10.139275,3.3094,12.665585,1.249161,yes
tiled,7,128,off,256,256,256,1234,3,10.114372,3.3175,12.665585,1.252236,yes
tiled,7,128,off,256,256,256,1234,4,10.112338,3.3182,12.665585,1.252488,yes
tiled,7,128,off,256,256,256,1234,5,10.109532,3.3191,12.665585,1.252836,yes
tiled,7,128,off,512,512,512,1234,1,80.912527,3.3176,120.973697,1.495117,yes
tiled,7,128,off,512,512,512,1234,2,79.130870,3.3923,120.973697,1.528780,yes
tiled,7,128,off,512,512,512,1234,3,78.925753,3.4011,120.973697,1.532753,yes
tiled,7,128,off,512,512,512,1234,4,78.892402,3.4026,120.973697,1.533401,yes
tiled,7,128,off,512,512,512,1234,5,78.938679,3.4006,120.973697,1.532502,yes
tiled,7,128,off,1024,1024,1024,1234,1,638.434053,3.3637,1052.510469,1.648581,na
tiled,7,128,off,1024,1024,1024,1234,2,636.535399,3.3737,1052.510469,1.653499,na
tiled,7,128,off,1024,1024,1024,1234,3,630.833863,3.4042,1052.510469,1.668443,na
tiled,7,128,off,1024,1024,1024,1234,4,632.124177,3.3972,1052.510469,1.665038,na
tiled,7,128,off,1024,1024,1024,1234,5,632.225012,3.3967,1052.510469,1.664772,na
tiled,7,128,off,2048,2048,2048,1234,1,5169.564239,3.3233,9075.974621,1.755656,na
tiled,7,128,off,2048,2048,2048,1234,2,5090.706157,3.3748,9075.974621,1.782852,na
tiled,7,128,off,2048,2048,2048,1234,3,5179.786876,3.3167,9075.974621,1.752191,na
tiled,7,128,off,2048,2048,2048,1234,4,5177.482532,3.3182,9075.974621,1.752971,na
tiled,7,128,off,2048,2048,2048,1234,5,5133.106429,3.3469,9075.974621,1.768125,na
tiled_simd,1,16,off,256,256,256,1234,1,0.939700,35.7076,12.665585,13.478328,yes
tiled_simd,1,16,off,256,256,256,1234,2,0.907834,36.9610,12.665585,13.951433,yes
tiled_simd,1,16,off,256,256,256,1234,3,0.910650,36.8467,12.665585,13.908291,yes
tiled_simd,1,16,off,256,256,256,1234,4,0.905482,37.0570,12.665585,13.987672,yes
tiled_simd,1,16,off,256,256,256,1234,5,0.938926,35.7370,12.665585,13.489439,yes
