label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
calibration,calibration,default,512,512,3,1234,3,0,87,2497594,23693,2833816,160289,19545193,10511905,1,647
calibration,calibration,default,512,512,3,1234,4,0,100,2431860,25709,2660407,148202,18132350,10405101,1,651
calibration,calibration,default,512,512,3,1234,5,0,100,2428043,27165,2657353,147410,18119839,10215330,1,648
calibration,calibration,default,512,512,3,1234,6,0,90,2436477,25515,2763391,155479,19059332,10772506,1,649
calibration,calibration,default,512,512,3,1234,7,0,100,2450670,29407,2668344,146272,18221530,10461531,1,646
calibration,calibration,default,512,512,3,1234,8,0,89,2443090,24497,2771239,155713,19112771,10032696,1,647
calibration,calibration,default,512,512,3,1234,9,0,100,2432426,28001,2660299,147155,18132733,10011641,1,650
calibration,calibration,default,512,512,3,1234,10,0,89,2457178,27194,2780430,156885,19168195,10398501,2,651
calibration,calibration,default,512,512,3,1234,11,0,100,2431418,28745,2659938,146856,18130643,10037704,1,650
calibration,calibration,default,512,512,3,1234,12,0,89,2450025,25503,2779853,157108,19175540,10240181,1,645
calibration,calibration,default,512,512,3,1234,13,0,88,2477497,25196,2810068,159004,19385313,10474350,1,650
calibration,calibration,default,512,512,3,1234,14,0,95,2470154,28016,2729387,151132,18664675,10280669,2,651
calibration,calibration,default,512,512,3,1234,15,0,90,2415730,24811,2738594,156702,18892537,10289716,1,647
calibration,calibration,default,512,512,3,1234,16,0,100,2434155,29222,2661338,146690,18142971,10359206,1,645
calibration,calibration,default,512,512,3,1234,17,0,89,2440004,25237,2767658,156344,19090657,10106748,1,647
calibration,calibration,default,512,512,3,1234,18,0,100,2427622,28676,2656773,148428,18113661,10034324,1,647
calibration,calibration,default,512,512,3,1234,19,0,100,2424870,28381,2655157,147968,18100277,9994547,0,649
calibration,calibration,default,512,512,3,1234,20,0,90,2425453,24845,2750503,156675,18969827,10044638,1,651
calibration,calibration,default,1024,1024,3,1234,1,0,96,8104395,58031,9552066,558865,66879613,34959423,2,2185
calibration,calibration,default,1024,1024,3,1234,2,0,100,8072435,59655,9414132,550340,65687856,34837155,0,2186
calibration,calibration,default,1024,1024,3,1234,3,0,96,8097829,53949,9555613,560693,66915621,34422127,1,2189
calibration,calibration,default,1024,1024,3,1234,4,0,96,8087362,52259,9543883,555979,66835049,35757201,1,2186
calibration,calibration,default,1024,1024,3,1234,5,0,100,8072039,56218,9414002,547831,65689824,35596021,1,2185
