label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
optimized,optimized,default,512,512,3,1234,3,0,91,3015481,53627,3157749,154457,21556653,16713507,1,903
optimized,optimized,default,512,512,3,1234,4,0,90,3037424,59906,3178900,155512,21696617,16570373,1,904
optimized,optimized,default,512,512,3,1234,5,0,90,3046376,57071,3190035,157221,21769849,16594121,1,905
optimized,optimized,default,512,512,3,1234,6,0,91,3043293,55043,3183243,154285,21723480,17048868,1,902
optimized,optimized,default,512,512,3,1234,7,0,90,3029044,58764,3172441,155379,21653129,16533359,1,903
optimized,optimized,default,512,512,3,1234,8,0,98,3015925,57762,3088033,149317,20883227,16267010,3,904
optimized,optimized,default,512,512,3,1234,9,0,100,2995780,54392,3059879,147949,20682239,15938547,2,903
optimized,optimized,default,512,512,3,1234,10,0,91,3009580,59568,3151641,153766,21507713,16578025,1,904
optimized,optimized,default,512,512,3,1234,11,0,90,3062583,53058,3206556,156341,21884407,16644365,2,904
optimized,optimized,default,512,512,3,1234,12,0,90,3040111,54950,3183130,155348,21727321,16530170,1,904
optimized,optimized,default,512,512,3,1234,13,0,90,3037505,61754,3181527,156767,21713261,17181289,1,904
optimized,optimized,default,512,512,3,1234,14,0,90,3041794,56167,3183870,155052,21730313,16974340,1,904
optimized,optimized,default,512,512,3,1234,15,0,90,3058209,51916,3203042,156546,21860835,17076102,1,902
optimized,optimized,default,512,512,3,1234,16,0,91,3031040,58619,3172207,156291,21648438,16935992,1,903
optimized,optimized,default,512,512,3,1234,17,0,91,3026958,59413,3169664,154812,21628850,16902300,1,904
optimized,optimized,default,512,512,3,1234,18,0,100,2997872,56720,3061441,147550,20691336,16576963,1,905
optimized,optimized,default,512,512,3,1234,19,0,90,3042798,57738,3185451,155077,21740571,16546864,1,904
optimized,optimized,default,512,512,3,1234,20,0,90,3067855,54928,3210558,156080,21909384,16721039,1,904
optimized,optimized,default,1024,1024,3,1234,1,0,97,10356828,181936,11138857,555921,76954298,57194758,1,3211
optimized,optimized,default,1024,1024,3,1234,2,0,96,10399183,187683,11189626,558159,77303411,59429472,2,3208
optimized,optimized,default,1024,1024,3,1234,3,0,97,10357516,188175,11145482,555716,77004294,57007473,1,3211
optimized,optimized,default,1024,1024,3,1234,4,0,97,10338882,176104,11126300,554352,76869062,56925468,2,3208
optimized,optimized,default,1024,1024,3,1234,5,0,97,10351701,180861,11139538,555358,76961435,58921567,1,3210
optimized,optimized,default,1024,1024,3,1234,6,0,97,10355927,183516,11145400,555523,77010594,57939848,1,3207
optimized,optimized,default,1024,1024,3,1234,7,0,97,10342344,187770,11128817,556706,76882651,58713889,2,3210
optimized,optimized,default,1024,1024,3,1234,8,0,100,10303450,186101,11006283,546923,75826122,56681565,1,3210
optimized,optimized,default,1024,1024,3,1234,9,0,97,10380849,173814,11171530,558669,77184398,57819866,2,3210
optimized,optimized,default,1024,1024,3,1234,10,0,97,10323810,177710,11108415,553215,76747204,56817601,1,3208
optimized,optimized,default,1024,1024,3,1234,11,0,98,10358452,175878,11104429,553041,76621863,57226527,2,3207
optimized,optimized,default,1024,1024,3,1234,12,0,97,10363671,184058,11150218,556091,77036283,58221485,2,3207
optimized,optimized,default,1024,1024,3,1234,13,0,97,10355350,182168,11142591,557344,76982896,56600581,1,3210
optimized,optimized,default,1024,1024,3,1234,14,0,97,10375726,183875,11163798,557505,77131914,58631819,2,3210
optimized,optimized,default,1024,1024,3,1234,15,0,97,10342647,182009,11127950,556214,76883556,57400452,1,3208
optimized,optimized,default,1024,1024,3,1234,16,0,97,10345374,174723,11134319,556856,76937029,57682085,1,3209
optimized,optimized,default,1024,1024,3,1234,17,0,97,10336664,173270,11123640,555604,76849827,56862427,2,3208
optimized,optimized,default,1024,1024,3,1234,18,0,97,10383172,179048,11169981,556326,77173358,57811919,2,3209
optimized,optimized,default,1024,1024,3,1234,19,0,97,10346869,185105,11123417,554828,76806303,57673732,2,3210
optimized,optimized,default,1024,1024,3,1234,20,0,97,10378562,189361,11166605,556543,77148283,57847176,1,3210
optimized,optimized,default,2048,2048,3,1234,1,0,99,39716020,723498,43061509,2154783,298436649,222637574,4,12431
optimized,optimized,default,2048,2048,3,1234,2,0,99,39579911,689698,42936965,2152725,297631253,222705310,3,12428
optimized,optimized,default,2048,2048,3,1234,3,0,100,39520188,672792,42788409,2145346,296378781,223860176,3,12426
optimized,optimized,default,2048,2048,3,1234,4,0,99,39539442,687688,42894053,2152167,297330161,219944867,2,12432
optimized,optimized,default,2048,2048,3,1234,5,0,99,39558269,680489,42913769,2152922,297473837,218482785,1,12428
