label,stage,variant,H,W,K,seed,rep,event,value,unit,counter_runtime_ns,pct_enabled
optimized,optimized,default,64,64,3,1234,11,instructions,2782819,,556194,56
optimized,optimized,default,64,64,3,1234,11,cpu-cycles,3628640,,556194,56
optimized,optimized,default,64,64,3,1234,11,context-switches,1,,988586,100
optimized,optimized,default,64,64,3,1234,11,page-faults,141,,988586,100
optimized,optimized,default,64,64,3,1234,12,L1-dcache-loads,639054,,567778,59
optimized,optimized,default,64,64,3,1234,12,L1-dcache-load-misses,24307,,567778,59
optimized,optimized,default,64,64,3,1234,12,branch-instructions,502981,,567778,59
optimized,optimized,default,64,64,3,1234,12,branch-misses,15287,,567778,59
optimized,optimized,default,64,64,3,1234,12,instructions,2869613,,567778,59
optimized,optimized,default,64,64,3,1234,12,cpu-cycles,3328578,,567778,59
optimized,optimized,default,64,64,3,1234,12,context-switches,2,,946654,100
optimized,optimized,default,64,64,3,1234,12,page-faults,143,,946654,100
optimized,optimized,default,64,64,3,1234,13,L1-dcache-loads,671825,,468228,51
optimized,optimized,default,64,64,3,1234,13,L1-dcache-load-misses,24840,,468228,51
optimized,optimized,default,64,64,3,1234,13,branch-instructions,529421,,468228,51
optimized,optimized,default,64,64,3,1234,13,branch-misses,15500,,468228,51
optimized,optimized,default,64,64,3,1234,13,instructions,3037153,,468228,51
optimized,optimized,default,64,64,3,1234,13,cpu-cycles,3338477,,468228,51
optimized,optimized,default,64,64,3,1234,13,context-switches,1,,914743,100
optimized,optimized,default,64,64,3,1234,13,page-faults,141,,914743,100
optimized,optimized,default,64,64,3,1234,14,L1-dcache-loads,663858,,467446,51
optimized,optimized,default,64,64,3,1234,14,L1-dcache-load-misses,24413,,467446,51
optimized,optimized,default,64,64,3,1234,14,branch-instructions,522821,,467446,51
optimized,optimized,default,64,64,3,1234,14,branch-misses,14562,,467446,51
optimized,optimized,default,64,64,3,1234,14,instructions,3005112,,467446,51
optimized,optimized,default,64,64,3,1234,14,cpu-cycles,3337310,,467446,51
optimized,optimized,default,64,64,3,1234,14,context-switches,1,,907291,100
optimized,optimized,default,64,64,3,1234,14,page-faults,141,,907291,100
optimized,optimized,default,64,64,3,1234,15,L1-dcache-loads,580365,,696008,100
optimized,optimized,default,64,64,3,1234,15,L1-dcache-load-misses,19720,,696008,100
optimized,optimized,default,64,64,3,1234,15,branch-instructions,441487,,696008,100
optimized,optimized,default,64,64,3,1234,15,branch-misses,16116,,696008,100
optimized,optimized,default,64,64,3,1234,15,instructions,2519722,,696008,100
optimized,optimized,default,64,64,3,1234,15,cpu-cycles,2564696,,696008,100
optimized,optimized,default,64,64,3,1234,15,context-switches,1,,696008,100
optimized,optimized,default,64,64,3,1234,15,page-faults,140,,696008,100
optimized,optimized,default,64,64,3,1234,16,L1-dcache-loads,655795,,505972,53
optimized,optimized,default,64,64,3,1234,16,L1-dcache-load-misses,27459,,505972,53
optimized,optimized,default,64,64,3,1234,16,branch-instructions,515390,,505972,53
optimized,optimized,default,64,64,3,1234,16,branch-misses,19357,,505972,53
optimized,optimized,default,64,64,3,1234,16,instructions,2962025,,505972,53
optimized,optimized,default,64,64,3,1234,16,cpu-cycles,3498932,,505972,53
optimized,optimized,default,64,64,3,1234,16,context-switches,1,,951943,100
optimized,optimized,default,64,64,3,1234,16,page-faults,145,,951943,100
optimized,optimized,default,64,64,3,1234,17,L1-dcache-loads,580247,,733392,100
optimized,optimized,default,64,64,3,1234,17,L1-dcache-load-misses,18869,,733392,100
optimized,optimized,default,64,64,3,1234,17,branch-instructions,441231,,733392,100
optimized,optimized,default,64,64,3,1234,17,branch-misses,15838,,733392,100
optimized,optimized,default,64,64,3,1234,17,instructions,2520839,,733392,100
optimized,optimized,default,64,64,3,1234,17,cpu-cycles,2578698,,733392,100
optimized,optimized,default,64,64,3,1234,17,context-switches,1,,733392,100
optimized,optimized,default,64,64,3,1234,17,page-faults,140,,733392,100
optimized,optimized,default,64,64,3,1234,18,L1-dcache-loads,688258,,492390,50
optimized,optimized,default,64,64,3,1234,18,L1-dcache-load-misses,26621,,492390,50
optimized,optimized,default,64,64,3,1234,18,branch-instructions,540989,,492390,50
optimized,optimized,default,64,64,3,1234,18,branch-misses,18535,,492390,50
optimized,optimized,default,64,64,3,1234,18,instructions,3110018,,492390,50
optimized,optimized,default,64,64,3,1234,18,cpu-cycles,3569003,,492390,50
optimized,optimized,default,64,64,3,1234,18,context-switches,1,,976759,100
optimized,optimized,default,64,64,3,1234,18,page-faults,143,,976759,100
optimized,optimized,default,64,64,3,1234,19,L1-dcache-loads,601115,,808108,100
optimized,optimized,default,64,64,3,1234,19,L1-dcache-load-misses,20089,,808108,100
optimized,optimized,default,64,64,3,1234,19,branch-instructions,454902,,808108,100
optimized,optimized,default,64,64,3,1234,19,branch-misses,16258,,808108,100
optimized,optimized,default,64,64,3,1234,19,instructions,2605200,,808108,100
optimized,optimized,default,64,64,3,1234,19,cpu-cycles,2872378,,808108,100
optimized,optimized,default,64,64,3,1234,19,context-switches,2,,808108,100
optimized,optimized,default,64,64,3,1234,19,page-faults,140,,808108,100
optimized,optimized,default,64,64,3,1234,20,L1-dcache-loads,682795,,491708,51
optimized,optimized,default,64,64,3,1234,20,L1-dcache-load-misses,25114,,491708,51
optimized,optimized,default,64,64,3,1234,20,branch-instructions,537521,,491708,51
optimized,optimized,default,64,64,3,1234,20,branch-misses,19901,,491708,51
optimized,optimized,default,64,64,3,1234,20,instructions,3082912,,491708,51
optimized,optimized,default,64,64,3,1234,20,cpu-cycles,3498630,,491708,51
optimized,optimized,default,64,64,3,1234,20,context-switches,2,,963184,100
optimized,optimized,default,64,64,3,1234,20,page-faults,142,,963184,100
optimized,optimized,default,128,128,3,1234,1,L1-dcache-loads,769336,,691487,60
optimized,optimized,default,128,128,3,1234,1,L1-dcache-load-misses,24496,,691487,60
optimized,optimized,default,128,128,3,1234,1,branch-instructions,660480,,691487,60
optimized,optimized,default,128,128,3,1234,1,branch-misses,29124,,691487,60
optimized,optimized,default,128,128,3,1234,1,instructions,4049292,,691487,60
optimized,optimized,default,128,128,3,1234,1,cpu-cycles,4197846,,691487,60
optimized,optimized,default,128,128,3,1234,1,context-switches,1,,1147539,100
optimized,optimized,default,128,128,3,1234,1,page-faults,180,,1147539,100
optimized,optimized,default,128,128,3,1234,2,L1-dcache-loads,787206,,677301,58
optimized,optimized,default,128,128,3,1234,2,L1-dcache-load-misses,24756,,677301,58
optimized,optimized,default,128,128,3,1234,2,branch-instructions,677640,,677301,58
optimized,optimized,default,128,128,3,1234,2,branch-misses,29715,,677301,58
optimized,optimized,default,128,128,3,1234,2,instructions,4143928,,677301,58
optimized,optimized,default,128,128,3,1234,2,cpu-cycles,4228933,,677301,58
optimized,optimized,default,128,128,3,1234,2,context-switches,1,,1156157,100
optimized,optimized,default,128,128,3,1234,2,page-faults,179,,1156157,100
optimized,optimized,default,128,128,3,1234,3,L1-dcache-loads,776640,,671808,59
optimized,optimized,default,128,128,3,1234,3,L1-dcache-load-misses,26920,,671808,59
optimized,optimized,default,128,128,3,1234,3,branch-instructions,666099,,671808,59
optimized,optimized,default,128,128,3,1234,3,branch-misses,27645,,671808,59
optimized,optimized,default,128,128,3,1234,3,instructions,4085016,,671808,59
optimized,optimized,default,128,128,3,1234,3,cpu-cycles,4088878,,671808,59
optimized,optimized,default,128,128,3,1234,3,context-switches,1,,1122350,100
optimized,optimized,default,128,128,3,1234,3,page-faults,180,,1122350,100
optimized,optimized,default,128,128,3,1234,4,L1-dcache-loads,735508,,667032,62
optimized,optimized,default,128,128,3,1234,4,L1-dcache-load-misses,23370,,667032,62
optimized,optimized,default,128,128,3,1234,4,branch-instructions,632634,,667032,62
optimized,optimized,default,128,128,3,1234,4,branch-misses,26839,,667032,62
optimized,optimized,default,128,128,3,1234,4,instructions,3875503,,667032,62
optimized,optimized,default,128,128,3,1234,4,cpu-cycles,3895707,,667032,62
optimized,optimized,default,128,128,3,1234,4,context-switches,1,,1066645,100
optimized,optimized,default,128,128,3,1234,4,page-faults,177,,1066645,100
optimized,optimized,default,128,128,3,1234,5,L1-dcache-loads,757989,,719558,60
optimized,optimized,default,128,128,3,1234,5,L1-dcache-load-misses,25871,,719558,60
optimized,optimized,default,128,128,3,1234,5,branch-instructions,653109,,719558,60
optimized,optimized,default,128,128,3,1234,5,branch-misses,27967,,719558,60
optimized,optimized,default,128,128,3,1234,5,instructions,3996197,,719558,60
